//Name,ID,DataType,Length,Unit,Remark,SystemID,BindObjType,BindObjTypeSeq,BindObjID
STS_SUBSTLOCSTATE40_LOADPORT2.15,100218,UINT_1,,,(E90-STS) [SUBSTLOC-40] State of Substrate Location,875,SUBSTLOC,40,LOADPORT2.15
STS_OBJID40_LOADPORT2.15,100219,ASCII,,,(E90-STS) [SUBSTLOC-40] Substrate Location ID (Identifier ID),876,SUBSTLOC,40,LOADPORT2.15
STS_SUBSTID41_LOADPORT2.16,100220,ASCII,,,(E90-STS) [SUBSTLOC-41] Substrate ID of the substrate at the substrate location,877,SUBSTLOC,41,LOADPORT2.16
STS_SUBSTLOCSTATE41_LOADPORT2.16,100221,UINT_1,,,(E90-STS) [SUBSTLOC-41] State of Substrate Location,878,SUBSTLOC,41,LOADPORT2.16
STS_OBJID41_LOADPORT2.16,100222,ASCII,,,(E90-STS) [SUBSTLOC-41] Substrate Location ID (Identifier ID),879,SUBSTLOC,41,LOADPORT2.16
STS_SUBSTID42_LOADPORT2.17,100223,ASCII,,,(E90-STS) [SUBSTLOC-42] Substrate ID of the substrate at the substrate location,880,SUBSTLOC,42,LOADPORT2.17
STS_SUBSTLOCSTATE42_LOADPORT2.17,100224,UINT_1,,,(E90-STS) [SUBSTLOC-42] State of Substrate Location,881,SUBSTLOC,42,LOADPORT2.17
STS_OBJID42_LOADPORT2.17,100225,ASCII,,,(E90-STS) [SUBSTLOC-42] Substrate Location ID (Identifier ID),882,SUBSTLOC,42,LOADPORT2.17
STS_SUBSTID43_LOADPORT2.18,100226,ASCII,,,(E90-STS) [SUBSTLOC-43] Substrate ID of the substrate at the substrate location,883,SUBSTLOC,43,LOADPORT2.18
STS_SUBSTLOCSTATE43_LOADPORT2.18,100227,UINT_1,,,(E90-STS) [SUBSTLOC-43] State of Substrate Location,884,SUBSTLOC,43,LOADPORT2.18
STS_OBJID43_LOADPORT2.18,100228,ASCII,,,(E90-STS) [SUBSTLOC-43] Substrate Location ID (Identifier ID),885,SUBSTLOC,43,LOADPORT2.18
STS_SUBSTID44_LOADPORT2.19,100229,ASCII,,,(E90-STS) [SUBSTLOC-44] Substrate ID of the substrate at the substrate location,886,SUBSTLOC,44,LOADPORT2.19
STS_SUBSTLOCSTATE44_LOADPORT2.19,100230,UINT_1,,,(E90-STS) [SUBSTLOC-44] State of Substrate Location,887,SUBSTLOC,44,LOADPORT2.19
STS_OBJID44_LOADPORT2.19,100231,ASCII,,,(E90-STS) [SUBSTLOC-44] Substrate Location ID (Identifier ID),888,SUBSTLOC,44,LOADPORT2.19
STS_SUBSTID45_LOADPORT2.20,100232,ASCII,,,(E90-STS) [SUBSTLOC-45] Substrate ID of the substrate at the substrate location,889,SUBSTLOC,45,LOADPORT2.20
STS_SUBSTLOCSTATE45_LOADPORT2.20,100233,UINT_1,,,(E90-STS) [SUBSTLOC-45] State of Substrate Location,890,SUBSTLOC,45,LOADPORT2.20
STS_OBJID45_LOADPORT2.20,100234,ASCII,,,(E90-STS) [SUBSTLOC-45] Substrate Location ID (Identifier ID),891,SUBSTLOC,45,LOADPORT2.20
STS_SUBSTID46_LOADPORT2.21,100235,ASCII,,,(E90-STS) [SUBSTLOC-46] Substrate ID of the substrate at the substrate location,892,SUBSTLOC,46,LOADPORT2.21
STS_SUBSTLOCSTATE46_LOADPORT2.21,100236,UINT_1,,,(E90-STS) [SUBSTLOC-46] State of Substrate Location,893,SUBSTLOC,46,LOADPORT2.21
STS_OBJID46_LOADPORT2.21,100237,ASCII,,,(E90-STS) [SUBSTLOC-46] Substrate Location ID (Identifier ID),894,SUBSTLOC,46,LOADPORT2.21
STS_SUBSTID47_LOADPORT2.22,100238,ASCII,,,(E90-STS) [SUBSTLOC-47] Substrate ID of the substrate at the substrate location,895,SUBSTLOC,47,LOADPORT2.22
STS_SUBSTLOCSTATE47_LOADPORT2.22,100239,UINT_1,,,(E90-STS) [SUBSTLOC-47] State of Substrate Location,896,SUBSTLOC,47,LOADPORT2.22
STS_OBJID47_LOADPORT2.22,100240,ASCII,,,(E90-STS) [SUBSTLOC-47] Substrate Location ID (Identifier ID),897,SUBSTLOC,47,LOADPORT2.22
STS_SUBSTID48_LOADPORT2.23,100241,ASCII,,,(E90-STS) [SUBSTLOC-48] Substrate ID of the substrate at the substrate location,898,SUBSTLOC,48,LOADPORT2.23
STS_SUBSTLOCSTATE48_LOADPORT2.23,100242,UINT_1,,,(E90-STS) [SUBSTLOC-48] State of Substrate Location,899,SUBSTLOC,48,LOADPORT2.23
STS_OBJID48_LOADPORT2.23,100243,ASCII,,,(E90-STS) [SUBSTLOC-48] Substrate Location ID (Identifier ID),900,SUBSTLOC,48,LOADPORT2.23
STS_SUBSTID49_LOADPORT2.24,100244,ASCII,,,(E90-STS) [SUBSTLOC-49] Substrate ID of the substrate at the substrate location,901,SUBSTLOC,49,LOADPORT2.24
STS_SUBSTLOCSTATE49_LOADPORT2.24,100245,UINT_1,,,(E90-STS) [SUBSTLOC-49] State of Substrate Location,902,SUBSTLOC,49,LOADPORT2.24
STS_OBJID49_LOADPORT2.24,100246,ASCII,,,(E90-STS) [SUBSTLOC-49] Substrate Location ID (Identifier ID),903,SUBSTLOC,49,LOADPORT2.24
STS_SUBSTID50_LOADPORT2.25,100247,ASCII,,,(E90-STS) [SUBSTLOC-50] Substrate ID of the substrate at the substrate location,904,SUBSTLOC,50,LOADPORT2.25
STS_SUBSTLOCSTATE50_LOADPORT2.25,100248,UINT_1,,,(E90-STS) [SUBSTLOC-50] State of Substrate Location,905,SUBSTLOC,50,LOADPORT2.25
STS_OBJID50_LOADPORT2.25,100249,ASCII,,,(E90-STS) [SUBSTLOC-50] Substrate Location ID (Identifier ID),906,SUBSTLOC,50,LOADPORT2.25
STS_SUBSTID51_UPPERARM,100250,ASCII,,,(E90-STS) [SUBSTLOC-51] Substrate ID of the substrate at the substrate location,907,SUBSTLOC,51,UPPERARM
STS_SUBSTLOCSTATE51_UPPERARM,100251,UINT_1,,,(E90-STS) [SUBSTLOC-51] State of Substrate Location,908,SUBSTLOC,51,UPPERARM
STS_OBJID51_UPPERARM,100252,ASCII,,,(E90-STS) [SUBSTLOC-51] Substrate Location ID (Identifier ID),909,SUBSTLOC,51,UPPERARM
STS_SUBSTID52_LOWERARM,100253,ASCII,,,(E90-STS) [SUBSTLOC-52] Substrate ID of the substrate at the substrate location,910,SUBSTLOC,52,LOWERARM
STS_SUBSTLOCSTATE52_LOWERARM,100254,UINT_1,,,(E90-STS) [SUBSTLOC-52] State of Substrate Location,911,SUBSTLOC,52,LOWERARM
STS_OBJID52_LOWERARM,100255,ASCII,,,(E90-STS) [SUBSTLOC-52] Substrate Location ID (Identifier ID),912,SUBSTLOC,52,LOWERARM
STS_SUBSTID53_ALIGNER,100256,ASCII,,,(E90-STS) [SUBSTLOC-53] Substrate ID of the substrate at the substrate location,913,SUBSTLOC,53,ALIGNER
STS_SUBSTLOCSTATE53_ALIGNER,100257,UINT_1,,,(E90-STS) [SUBSTLOC-53] State of Substrate Location,914,SUBSTLOC,53,ALIGNER
STS_OBJID53_ALIGNER,100258,ASCII,,,(E90-STS) [SUBSTLOC-53] Substrate Location ID (Identifier ID),915,SUBSTLOC,53,ALIGNER
STS_SUBSTID54_STAGE,100259,ASCII,,,(E90-STS) [SUBSTLOC-54] Substrate ID of the substrate at the substrate location,916,SUBSTLOC,54,STAGE
STS_SUBSTLOCSTATE54_STAGE,100260,UINT_1,,,(E90-STS) [SUBSTLOC-54] State of Substrate Location,917,SUBSTLOC,54,STAGE
STS_OBJID54_STAGE,100261,ASCII,,,(E90-STS) [SUBSTLOC-54] Substrate Location ID (Identifier ID),918,SUBSTLOC,54,STAGE
